Años;FECHA;Provincia;Idprovincia;Promedio de TMEDIA;Promedio de TMIN;Promedio de TMAX
2013;ago;a coruña;15;20,3;16,7;23,9
2013;sep;a coruña;15;19,6;16;23,3
2013;oct;a coruña;15;17,7;14,4;20,9
2013;nov;a coruña;15;13,3;11;15,5
2013;dic;a coruña;15;11,4;8,1;14,7
2014;ene;a coruña;15;11,3;9,2;13,5
2014;feb;a coruña;15;10,9;7,9;13,8
2014;mar;a coruña;15;12,4;9,2;15,6
2014;abr;a coruña;15;14,9;11,7;18,1
2014;may;a coruña;15;15,1;11,7;18,4
2014;jun;a coruña;15;18,3;14,8;21,7
2014;jul;a coruña;15;19,3;16,4;22,2
2014;ago;a coruña;15;19,8;16,3;23,4
2014;sep;a coruña;15;20,7;17,1;24,4
2014;oct;a coruña;15;18,8;15,4;22,3
2014;nov;a coruña;15;13,5;10,9;16,1
2014;dic;a coruña;15;11,3;9,1;13,5
2015;ene;a coruña;15;10,7;8,2;13,1
2015;feb;a coruña;15;10;7,5;12,5
2015;mar;a coruña;15;11,7;8,9;14,4
2015;abr;a coruña;15;14,8;11,2;18,4
2015;may;a coruña;15;15,8;12,9;18,7
2015;jun;a coruña;15;17,9;14,5;21,3
2015;jul;a coruña;15;19,9;16,7;23,2
2015;ago;a coruña;15;19,2;16,3;22,1
2015;sep;a coruña;15;17,5;14,1;21
2015;oct;a coruña;15;16,4;13,3;19,5
2015;nov;a coruña;15;15,4;12,8;18
2015;dic;a coruña;15;14,1;11,4;16,9
2000;ene;araba/álava;1;3,1;-1,4;7,5
2000;feb;araba/álava;1;7,7;1,9;13,4
2000;mar;araba/álava;1;8;1,8;14,1
2000;abr;araba/álava;1;10;5,2;14,8
2000;may;araba/álava;1;14,4;7,5;21,3
2000;jun;araba/álava;1;17;9,6;24,4
2000;jul;araba/álava;1;18,3;10,7;25,8
2000;ago;araba/álava;1;18,9;11,7;26,2
2000;sep;araba/álava;1;17;9,4;24,6
2000;oct;araba/álava;1;12;6,7;17,3
2000;nov;araba/álava;1;8;3,7;12,2
2000;dic;araba/álava;1;8,4;5;11,8
2001;ene;araba/álava;1;7,1;3,9;10,2
2001;feb;araba/álava;1;6,3;1,9;10,7
2001;mar;araba/álava;1;11,6;6,9;16,4
2001;abr;araba/álava;1;9,4;3,8;14,9
2001;may;araba/álava;1;13,4;6,8;20
2001;jun;araba/álava;1;16,8;9;24,7
2001;jul;araba/álava;1;18,2;12;24,4
2001;ago;araba/álava;1;20,6;13,5;27,6
2001;sep;araba/álava;1;14,5;8,1;21
2001;oct;araba/álava;1;15;8,9;21,2
2001;nov;araba/álava;1;6,1;2,1;10,1
2001;dic;araba/álava;1;2,1;-3,2;7,4
2002;ene;araba/álava;1;6,4;1,9;10,8
2002;feb;araba/álava;1;7,7;3,2;12,2
2002;mar;araba/álava;1;9,3;3,4;15,2
2002;abr;araba/álava;1;9,6;3,1;16,2
2002;may;araba/álava;1;12,3;6,2;18,4
